source_id,block,participants,mouse_mean_MT_ms,provenance
S7,1,10,921.02,recalculated_from_author_public_data
S7,2,10,891.708,recalculated_from_author_public_data
S7,3,10,892.1573333333333,recalculated_from_author_public_data
S7,4,10,901.9893333333333,recalculated_from_author_public_data
S7,5,10,868.072,recalculated_from_author_public_data
S7,6,10,874.7186666666666,recalculated_from_author_public_data
S7,7,10,848.488,recalculated_from_author_public_data
S7,8,10,845.344,recalculated_from_author_public_data
